My Campaign ID	House Party Code	House Party Date	Host	event_location
100212397	BM 21	5/27/10		21045
100236986	BM 21	5/27/10		21045
100236987	BM 21	5/27/10		21045
100236990	BM 21	5/27/10		21045
100236991	BM 21	5/27/10		21045
100236992	BM 21	5/27/10		21045
100236993	BM 21	5/27/10		21045
100212316	BM1	1/25/10		21210
100212320	BM1	1/25/10		21210
100212326	BM1	1/25/10		21210
100212327	BM1	1/25/10		21210
100212328	BM1	1/25/10		21210
100212338	BM1	1/25/10		21210
100212339	BM1	1/25/10		21210
100212389	BM1	1/25/10		21210
100212402	BM1	1/25/10		21210
100212404	BM1	1/25/10		21210
100212291	BM10	3/7/10		21227
100212392	BM10	3/7/10		21227
100212393	BM10	3/7/10		21227
100212394	BM10	3/7/10		21227
100212520	BM10	3/7/10		21227
100212522	BM10	3/7/10		21227
100212288	BM11	3/20/10		21136
100212332	BM11	3/20/10		21136
100212333	BM11	3/20/10		21136
100212336	BM11	3/20/10		21136
100212337	BM11	3/20/10		21136
100212345	BM11	3/20/10		21136
100212346	BM11	3/20/10		21136
100212347	BM11	3/20/10		21136
100212348	BM11	3/20/10		21136
100212383	BM11	3/20/10		21136
100212384	BM11	3/20/10		21136
100212385	BM11	3/20/10		21136
100212409	BM11	3/20/10		21136
100212547	BM11	3/20/10		21136
100212548	BM11	3/20/10		21136
100212561	BM11	3/20/10		21136
100212562	BM11	3/20/10		21136
100212010	BM12	3/19/10		20901
100212022	BM12	3/19/10		20901
100212044	BM12	3/19/10		20901
100212083	BM12	3/19/10		20901
100212145	BM12	3/19/10		20901
100212334	BM12	3/19/10		20901
100212395	BM12	3/19/10		20901
100212397	BM12	3/19/10		20901
100212403	BM12	3/19/10		20901
100212537	BM12	3/19/10		20901
100212563	BM12	3/19/10		20901
100212311	BM13	3/21/10		21228
100212329	BM13	3/21/10		21228
100212330	BM13	3/21/10		21228
100212362	BM13	3/21/10		21228
100212372	BM13	3/21/10		21228
100212378	BM13	3/21/10		21228
100212411	BM13	3/21/10		21228
100212147	BM14	3/24/10		21012
100212290	BM14	3/24/10		21012
100212295	BM14	3/24/10		21012
100212304	BM14	3/24/10		21012
100212340	BM14	3/24/10		21012
100212375	BM14	3/24/10		21012
100212391	BM14	3/24/10		21012
100212056	BM16	3/28/10		20866
100212061	BM16	3/28/10		20866
100212070	BM16	3/28/10		20866
100212094	BM16	3/28/10		20866
100212095	BM16	3/28/10		20866
100212096	BM16	3/28/10		20866
100212097	BM16	3/28/10		20866
100212098	BM16	3/28/10		20866
100212150	BM16	3/28/10		20866
100212151	BM16	3/28/10		20866
100212407	BM16	3/28/10		20866
100212292	BM17	3/29/10		21403
100212299	BM17	3/29/10		21403
100212300	BM17	3/29/10		21403
100212301	BM17	3/29/10		21403
100212307	BM17	3/29/10		21403
100212308	BM17	3/29/10		21403
100212309	BM17	3/29/10		21403
100212396	BM17	3/29/10		21403
100212552	BM17	3/29/10		21403
100212013	BM18	3/31/10		20912
100212021	BM18	3/31/10		20912
100212026	BM18	3/31/10		20912
100212076	BM18	3/31/10		20912
100212084	BM18	3/31/10		20912
100212148	BM18	3/31/10		20912
100212149	BM18	3/31/10		20912
100212305	BM18	3/31/10		20912
100212408	BM18	3/31/10		20912
100212550	BM18	3/31/10		20912
100212551	BM18	3/31/10		20912
100212564	BM18	3/31/10		20912
100212565	BM18	3/31/10		20912
100212566	BM18	3/31/10		20912
100212052	BM19	4/29/10		21045
100212313	BM19	4/29/10		21045
100212314	BM19	4/29/10		21045
100212315	BM19	4/29/10		21045
100212361	BM19	4/29/10		21045
100212363	BM19	4/29/10		21045
100212364	BM19	4/29/10		21045
100212387	BM19	4/29/10		21045
100212567	BM19	4/29/10	yes	21045
100212568	BM19	4/29/10		21045
100210606	BM20	5/4/10		20853
100210607	BM20	5/4/10		20853
100210608	BM20	5/4/10		20853
100210609	BM20	5/4/10		20853
100210610	BM20	5/4/10		20853
100210611	BM20	5/4/10		20853
100212324	BM3	2/20/10		21207
100212335	BM3	2/20/10		21207
100212390	BM3	2/20/10		21207
100212319	BM4	3/27/10		21234
100212349	BM4	3/27/10		21234
100212350	BM4	3/27/10		21234
100212351	BM4	3/27/10		21234
100212355	BM4	3/27/10		21234
100212356	BM4	3/27/10		21234
100212357	BM4	3/27/10	yes	21234
100212386	BM4	3/27/10		21234
100212015	BM5	2/21/10		21401
100212284	BM5	2/21/10	yes	21401
100212285	BM5	2/21/10		21401
100212286	BM5	2/21/10		21401
100212287	BM5	2/21/10	yes	21401
100212296	BM5	2/21/10		21401
100212297	BM5	2/21/10		21401
100212306	BM5	2/21/10		21401
100212323	BM5	2/21/10		21401
100212343	BM5	2/21/10		21401
100212558	BM5	2/21/10		21401
100212559	BM5	2/21/10		21401
100212569	BM5	2/21/10	yes	21401
100212053	BM9	3/4/10		21401
100212054	BM9	3/4/10		21401
100212293	BM9	3/4/10		21401
100212294	BM9	3/4/10		21401
